NOMBRE,TIPO,LATITUD,LONGITUD,DIRECCION
ZARZAMORA,Deporte,4.61943376908075,-74.178389107195,CALLE 54C SUR · 81G BIS 54
RIVERAS DE OCCIDENTE JORNADA MAÑANA,Deporte,4.64522364165935,-74.1693264783586,CALLE 35 A SUR #93 10
PARQUE LA RIVERA,Deporte,4.64842642114024,-74.1780951071948,CALLE. 42a Sur #99C-19
PARQUE LA RIVIERA,Deporte,4.6454890479682,-74.177974480212,CALLE. 42f SUR #97C-14
PARROQUIA SANTA GUADALUPE,Deporte,4.6391517628033,-74.1731701495224,CARRERA. 90a Bis # 42A BIS S-31
PARQUE ALTAMAR,Deporte,4.63560978896003,-74.1721651783587,CARRERA. 88d BIS # 42C-55
PARQUE CONDADOS DE CASTILLA,Deporte,4.63776106324693,-74.1452081802119,CALLE. 7a Bis C #78h29
PARQUE PRINCIPAL DE TECHO,Deporte,4.62625757914182,-74.1472931206863,"Cra. 78B #06 Sur-05, Kennedy, Bogotá"
CARVAJAL OSORIO,Deporte,4.60706497883082,-74.1377969802123,TRANVERSAL 68h Bis A # 37C-30
FLORESTA SUR JORNADA TARDE,Deporte,4.62119339267747,-74.1279890206863,CALLE1 SUR # 68D
MARIA PAZ,Deporte,4.63658860886056,-74.1578179999999,CARRERA 82 # 2A 60 SUR
PARQUE LOS SOLDADITOS,Deporte,4.64284464252732,-74.1597657360311,"CALLE 5 # 87G-40, KENNEDY, BOGOTÁ, D.C."
VILLA CLAUDIA,Deporte,4.61793225713012,-74.1289414711637,CARRERA 68F # 8 - 24
TINTAL NORTE,Deporte,4.65093043327242,-74.1598979258214,CARRERA 92CON CALLE 6B
JACKELINE,Deporte,4.60990735313428,-74.1649135443988,CALLE 47 B SUR # 77 U -50
CANCHA BOMBONERA,Deporte,4.6209579444574,-74.161777551376,CRA 79B # 41F 72
PARQUE LINEAL NUEVA CASTILLA MENORES,Deporte,4.650265017153,-74.1515040097846,"Ak 88d #8C-21, Kennedy, Bogotá"
SAN DIONISIO,Deporte,4.63809007573031,-74.1666554513759,CALLE 38C SUR 88-78
"PARQUE UNIR 1 
JORNADA MAÑANA",Deporte,4.64269801363913,-74.1666898179337,CARRERA 89D # 1A -75SUR
SAN ANDRES 2DO SECTOR,Deporte,4.6010254307994,-74.1459224521122,"Calle 43BS, Kennedy, Bogotá"
PARQUE KENNEDY ORIENTAL SUPER 6,Deporte,4.61781123965997,-74.1530230648674,"Cl. 39c Sur #73f-43, Bogotá"
FLORESTA SUR JORNADA MAÑANA,Deporte,4.62120408663536,-74.1279997495225,CALLE1 SUR # 68D
PARQUE PARAISO CATEGORIA JUVENILES,Deporte,4.64003197725223,-74.169472255819,CALLE 40 # 89 D BIS
SALON COMUNAL ESTADOS UNIDOS,Deporte,4.62513639764944,-74.159123123276,"CALLE 40A SUR #79-65, KENNEDY, BOGOTÁ"
SALON COMUNAL ESTADOS UNIDOS,Deporte,4.62513639764944,-74.159123123276,"CALLE 40A SUR #79-65, KENNEDY, BOGOTÁ"
SALON COMUNAL ESTADOS UNIDOS,Deporte,4.62513639764944,-74.159123123276,"CALLE 40A SUR #79-65, KENNEDY, BOGOTÁ"
SALON COMUNAL ESTADOS UNIDOS,Deporte,4.62513639764944,-74.159123123276,"CALLE 40A SUR #79-65, KENNEDY, BOGOTÁ"
SALON COMUNAL ESTADOS UNIDOS,Deporte,4.62513639764944,-74.159123123276,"CALLE 40A SUR #79-65, KENNEDY, BOGOTÁ"
PARQUE ESTRUCTURANTE PATIO BONITO 1,Deporte,4.64146118182224,-74.1644138153447,AVENIDA EL TINTAL # 33 SUR 32
PARQUE ESTRUCTURANTE PATIO BONITO 2,Deporte,4.64146118182224,-74.1644138153447,AVENIDA EL TINTAL # 33 SUR 32
PARQUE ESTRUCTURANTE PATIO BONITO 3,Deporte,4.64146118182224,-74.1644138153447,AVENIDA EL TINTAL # 33 SUR 32
PARQUE ESTRUCTURANTE PATIO BONITO 4,Deporte,4.64146118182224,-74.1644138153447,AVENIDA EL TINTAL # 33 SUR 32
PARQUE ESTRUCTURANTE PATIO BONITO 5,Deporte,4.64146118182224,-74.1644138153447,AVENIDA EL TINTAL # 33 SUR 32
PARQUE ESTRUCTURANTE PATIO BONITO 6,Deporte,4.64146118182224,-74.1644138153447,AVENIDA EL TINTAL # 33 SUR 32
PARQUE ESTRUCTURANTE PATIO BONITO 7,Deporte,4.64146118182224,-74.1644138153447,AVENIDA EL TINTAL # 33 SUR 32
FLORALIA,Deporte,4.6388150870509,-74.1388155391227,TRANSVERSAL 68c # 30a Sur1
CAYETANO CAÑIZARES,Deporte,4.62483849783301,-74.1604255495226,"Cra. 80 #40 55 Sur, Bogotá"
GILMA JIMENEZ,Deporte,4.62413413572559,-74.17622004647,"Cra. 87p #69 Sur-63, Bogotá"
PARQUE SUPER MANZANA 6 ONLY,Deporte,4.62177424414871,-74.1498742918502,"Cra. 78 #36A-12, Bogotá"
PARQUE SAN IGNACIO PATINODROMO,Deporte,4.65352509085314,-74.1633708206862,"Cl. 6a #94a-25, Kennedy, Bogotá"
VISION COLOMBIA PARQUE LA PISTA JORNADA TARDE,Deporte,4.65224856512787,-74.1347598378844,"Cl. 15 #79f-16, Bogotá"
VISION COLOMBIA PARQUE LA PISTA JORNADA MAÑANA,Deporte,4.65226995210329,-74.1347598378844,"Cl. 15 #79f-16, Bogotá"
PARQUE BOITA MORABIA,Deporte,4.60717017297157,-74.1526906630141,Cl. 42b Sur # 72n
CANCHA BOMBONERA,Deporte,4.6208937806854,-74.1617024495226,CRA 79B # 41F 72
ARGELIA,Deporte,4.61925225820805,-74.1573982055601,CARRERA 72H CON CALLE 38 D SUR
ALCALDIA LOCAL,Deporte,4.61930572814223,-74.1573982055601,"04 Sur Transversal 78k 41 A, Bogotá"
MARSELLA PARQUE,Deporte,4.6362620950586,-74.1291186341777,TRANSVERSAL 70 # 9A - 73
"CONSENTIDOS 2

CARITAS ALEGRES",Deporte,4.60610587330877,-74.144404551376,"CARRERA 72F BIS A # 39 F 20 SUR

CARRERA 72F - 38B 78 SUR"
POLI FUTBOL PARQUE LA ALEJANDRA,Deporte,4.60587329605723,-74.1482399711638,"Cra. 72 I # a, Bogotá"
"ALCALDIA LOCAL
POLI AJEDREZ",Deporte,4.61926829918873,-74.1573713834696,"04 Sur Transversal 78k 41 A, Bogotá"
"LICEO PEÑEROS CORTES
AJEDREZ",Deporte,4.62512500056472,-74.1434434306895,"Cl. 2 Bis #73c55, Bogotá"
CLASS ROMA POLIMOTOR AJEDREZ,Deporte,4.61955056904364,-74.1290486532293,"KR 68 F 3 42 SUR

KR 68 D 2 69 SUR"
JARDIN COMUNITARIO ILUSIONES Y FANTASIAS,Deporte,4.60329549150694,-74.141423907195,CARRERA 68I 39F 06 SUR
"LA IGUALDAD

LAS OVEJITAS

PILITOS",Deporte,4.62457357388196,-74.1280635537558,"CALLE 2 B 68 D 12

Calle 2 B # 68F -27"
CONTRAUNIDOS POLI FUTSAL,Deporte,4.64078724961206,-74.1595249495224,"CALLE. 2 # 87-15 SUR,"
"PARQUE ALTAMAR
POLI FUTSAL",Deporte,4.63540298901343,-74.1721595783586,CARRERA. 88d BIS # 42C-55
FLORALIA,Deporte,4.607949259460351,-74.1368514441809,CALLE 37 BIS No. 68 H 79 S.
CIUDAD TINTAL,Deporte,4.65116173635152,-74.1616369287837,Cll 6 a # 92 - 20 CASA 39 PRADOS
NUEVA CASTILLA,Deporte,4.64971877651725,-74.1517717844453,CLL 8 a # 88 -90 Interior 3 APT 109 TORRE 2
LAS VEGAS 2 SECTOR,Deporte,4.63687068863435,-74.1709299378844,CRA 88g # 42F71 sur
MARIA PAZ 1,Deporte,4.63608658257265,-74.1572980188329,CALLE 5 B # 81 D 12 SUR
LUCERNA,Deporte,4.61385477678015,-74.1458239206865,"
CALLE 38 A #72M12 SUR
"
"LA IGUALDAD 
MI BELLA AVENTURA",Deporte,4.62252840445288,-74.1294666513759,KR 69 A 1 37
"TINTAL1
TINTAL2",Deporte,4.6560361362135,-74.1591868802119,"CLL7 # 94-78 CASA 237
Calle 7 # 94 -79
"
CARIMAGUA 1ER SECTOR,Deporte,4.61139007752489,-74.145115751376,CALLE 38 C sur 72 J 45
MARIA PAZ 2,Deporte,4.63709522124577,-74.1553850846552,CARRERA 81 C # 2 B 36
"MI BELLA INCANCIA

CHIQUILINES",Deporte,4.67279585885246,-74.0943053802118,"CARRERA 68H # 39-14 SUR

TRANNSV 68J BIS 39B 25 SUR"
SAN CARLOS,Deporte,4.63312809582042,-74.1545962495225,"Carrera 80 b 2 74 ,Kennedy, Bogotá"
BOITA,Deporte,4.60737207442762,-74.1556013248561,CALLE 48B SUR # 72K - 13
CONJUNTO RESIDENCIAL CARIMAGUA ETAPA 3,Deporte,4.61400698056325,-74.1483088369853,CALLE 39 SUR # 72N 42
VEGAS DE SANTA ANA,Deporte,4.61785128531558,-74.1812350272541,"Cra. 81j #57A-62, Bosa, Bogotá"
DELICIAS TAEKWONDO ADAPTADO,Deporte,4.59976132105085,-74.1464969783589,CARRERA 72B # 44C 19 SUR SEDE B
