clase_fa,archivos,lucide_propuesto,confianza,revisar_a_mano,ejemplos
fa-circle,1,Circle,exacto,no,core/settings.py
fa-circle-exclamation,1,,sin-candidato,sí,frontend/src/app/shared/ui/toast-host.component.ts
fa-circle-xmark,1,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-compass,1,Compass,exacto,no,frontend/src/app/features/publico/info-terreno-publico.component.ts
fa-crown,1,Crown,exacto,no,frontend/src/app/features/admin/admin-accesos.component.ts
fa-cube,1,,sin-candidato,sí,frontend/src/app/features/publico/entregas-publico.component.ts
fa-equals,1,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-eye-slash,1,,sin-candidato,sí,frontend/src/app/features/festivales/festival-detalle.component.ts
fa-file-alt,1,,sin-candidato,sí,frontend/src/app/features/cursos/curso-detalle.component.ts
fa-file-video,1,,sin-candidato,sí,frontend/src/app/features/festivales/festival-biblioteca.component.ts
fa-filter,1,,sin-candidato,sí,frontend/src/app/features/presupuesto/presupuesto-dashboard.component.ts
fa-gift,1,Gift,exacto,no,frontend/src/app/features/publico/jovenes-publico.component.ts
fa-group,1,Group,exacto,no,frontend/src/app/features/publico/caracterizacion-publico.component.ts
fa-hand-holding-heart,1,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripciones-list.component.ts
fa-hand-pointer,1,,sin-candidato,sí,frontend/src/app/features/cursos/curso-detalle.component.ts
fa-hands-holding-circle,1,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-handshake,1,Handshake,exacto,no,frontend/src/app/features/caracterizacion/caracterizacion.types.ts
fa-heart-pulse,1,HeartPulse,exacto,no,apps/caracterizacion/sectores.py
fa-heartbeat,1,,sin-candidato,sí,frontend/src/app/features/caracterizacion/caracterizacion.types.ts
fa-house-user,1,,sin-candidato,sí,frontend/src/app/features/caracterizacion/caracterizacion-detail.component.ts
fa-images,1,Images,exacto,no,frontend/src/app/features/festivales/festivales-list.component.ts
fa-institution,1,,sin-candidato,sí,frontend/src/app/features/publico/caracterizacion-publico.component.ts
fa-landmark,1,Landmark,exacto,no,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-laptop,1,Laptop,exacto,no,frontend/src/app/features/publico/entregas-publico.component.ts
fa-list-alt,1,,sin-candidato,sí,frontend/src/app/features/caracterizacion/caracterizacion-detail.component.ts
fa-list-ul,1,,sin-candidato,sí,frontend/src/app/features/festivales/festivales-list.component.ts
fa-location-arrow,1,,sin-candidato,sí,frontend/src/app/features/publico/info-terreno-publico.component.ts
fa-location-pin,1,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-map,1,Map,exacto,no,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-medkit,1,,sin-candidato,sí,frontend/src/app/features/publico/caracterizacion-publico.component.ts
fa-minus,1,Minus,exacto,no,frontend/src/app/features/publico/entregas-publico.component.ts
fa-mobile-screen,1,,sin-candidato,sí,frontend/src/app/features/eventos/evento-qr.component.ts
fa-money-bill,1,,sin-candidato,sí,frontend/src/app/features/presupuesto/proyecto-360.component.ts
fa-pen-nib,1,,sin-candidato,sí,frontend/src/app/features/captura/captura-list.component.ts
fa-pen-ruler,1,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-pencil-square-o,1,,sin-candidato,sí,frontend/src/app/features/publico/caracterizacion-publico.component.ts
fa-photo-film,1,,sin-candidato,sí,frontend/src/app/features/festivales/festival-biblioteca.component.ts
fa-print,1,,sin-candidato,sí,frontend/src/app/features/eventos/evento-qr.component.ts
fa-puzzle-piece,1,,sin-candidato,sí,frontend/src/app/features/admin/admin-rol-detalle.component.ts
fa-ranking-star,1,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/insights.component.ts
fa-robot,1,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-rotate,1,,sin-candidato,sí,frontend/src/app/features/presupuesto/presupuesto-dashboard.component.ts
fa-save,1,Save,exacto,no,frontend/src/app/features/subgrupo/subgrupo-detalle.component.ts
fa-screwdriver-wrench,1,,sin-candidato,sí,frontend/src/app/features/votaciones/votaciones-detail.component.ts
fa-sign-out-alt,1,,sin-candidato,sí,frontend/src/app/core/layout/topbar/topbar.component.html
fa-sliders,1,,sin-candidato,sí,frontend/src/app/features/eventos/evento-form.component.ts
fa-tag,1,Tag,exacto,no,frontend/src/app/features/eventos/evento-qr.component.ts
fa-tasks,1,,sin-candidato,sí,frontend/src/app/features/presupuesto/proyecto-360.component.ts
fa-tools,1,,sin-candidato,sí,frontend/src/styles/_empty-state.scss
fa-university,1,University,exacto,no,frontend/src/app/features/publico/jovenes-publico.component.ts
fa-unlink,1,Unlink,exacto,no,frontend/src/app/features/presupuesto/proyecto-360.component.ts
fa-upload,1,Upload,exacto,no,frontend/src/app/features/festivales/festival-biblioteca.component.ts
fa-user-check,1,UserCheck,exacto,no,frontend/src/app/features/publico/festival-aforo-publico.component.ts
fa-user-graduate,1,,sin-candidato,sí,apps/presupuesto/services/modulos_area.py
fa-user-group,1,,sin-candidato,sí,frontend/src/app/features/cursos/curso-detalle.component.ts
fa-user-pen,1,UserPen,exacto,no,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-users-cog,1,,sin-candidato,sí,core/settings.py
